Genotype,Perimeter,Area,Level 1 Size,Shape Factor
Messaging Knockout,4,1,44,4.0
Messaging Knockout,10,3,91,5.773502691896258
Messaging Knockout,4,1,62,4.0
Messaging Knockout,12,6,69,4.898979485566357
Messaging Knockout,4,1,81,4.0
Messaging Knockout,8,4,81,4.0
Messaging Knockout,4,1,44,4.0
Messaging Knockout,4,1,28,4.0
Messaging Knockout,10,4,62,5.0
Messaging Knockout,12,6,62,4.898979485566357
Messaging Knockout,6,2,69,4.242640687119285
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,57,4.0
Messaging Knockout,22,12,57,6.3508529610858835
Messaging Knockout,12,6,57,4.898979485566357
Messaging Knockout,24,23,28,5.004345937369795
Messaging Knockout,20,14,62,5.3452248382484875
Messaging Knockout,4,1,62,4.0
Messaging Knockout,6,2,62,4.242640687119285
Messaging Knockout,10,4,69,5.0
Messaging Knockout,10,3,69,5.773502691896258
Messaging Knockout,8,3,72,4.618802153517007
Messaging Knockout,8,3,72,4.618802153517007
Messaging Knockout,4,1,81,4.0
Messaging Knockout,12,5,81,5.366563145999495
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,28,4.0
Messaging Knockout,4,1,28,4.0
Messaging Knockout,12,5,62,5.366563145999495
Messaging Knockout,4,1,62,4.0
Messaging Knockout,10,4,69,5.0
Messaging Knockout,8,3,69,4.618802153517007
Messaging Knockout,4,1,72,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,14,6,57,5.715476066494083
Messaging Knockout,4,1,28,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,10,4,81,5.0
Messaging Knockout,14,7,62,5.2915026221291805
Messaging Knockout,4,1,62,4.0
Messaging Knockout,6,2,72,4.242640687119285
Messaging Knockout,24,20,72,5.366563145999495
Messaging Knockout,8,3,72,4.618802153517007
Messaging Knockout,10,4,72,5.0
Messaging Knockout,8,3,81,4.618802153517007
Messaging Knockout,4,1,81,4.0
Messaging Knockout,10,3,81,5.773502691896258
Messaging Knockout,6,2,57,4.242640687119285
Messaging Knockout,4,1,28,4.0
Messaging Knockout,8,3,81,4.618802153517007
Messaging Knockout,12,6,81,4.898979485566357
Messaging Knockout,4,1,62,4.0
Messaging Knockout,4,1,62,4.0
Messaging Knockout,8,3,72,4.618802153517007
Messaging Knockout,4,1,72,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,18,10,57,5.692099788303082
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,62,4.0
Messaging Knockout,18,9,62,6.0
Messaging Knockout,20,13,72,5.547001962252292
Messaging Knockout,6,2,72,4.242640687119285
Messaging Knockout,18,12,14,5.196152422706632
Messaging Knockout,12,5,57,5.366563145999495
Messaging Knockout,4,1,57,4.0
Messaging Knockout,8,3,57,4.618802153517007
Messaging Knockout,4,1,81,4.0
Messaging Knockout,32,32,81,5.65685424949238
Messaging Knockout,12,6,81,4.898979485566357
Messaging Knockout,8,4,72,4.0
Messaging Knockout,16,7,90,6.047431568147635
Messaging Knockout,16,7,90,6.047431568147635
Messaging Knockout,6,2,81,4.242640687119285
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,72,4.0
Messaging Knockout,8,4,72,4.0
Messaging Knockout,4,1,14,4.0
Messaging Knockout,10,4,53,5.0
Messaging Knockout,8,3,53,4.618802153517007
Messaging Knockout,8,3,53,4.618802153517007
Messaging Knockout,8,3,57,4.618802153517007
Messaging Knockout,8,3,57,4.618802153517007
Messaging Knockout,6,2,81,4.242640687119285
Messaging Knockout,10,4,81,5.0
Messaging Knockout,6,2,48,4.242640687119285
Messaging Knockout,4,1,48,4.0
Messaging Knockout,4,1,48,4.0
Messaging Knockout,4,1,72,4.0
Messaging Knockout,4,1,11,4.0
Messaging Knockout,4,1,14,4.0
Messaging Knockout,8,3,53,4.618802153517007
Messaging Knockout,10,5,57,4.47213595499958
Messaging Knockout,16,10,90,5.059644256269407
Messaging Knockout,4,1,90,4.0
Messaging Knockout,8,2,81,5.65685424949238
Messaging Knockout,6,2,48,4.242640687119285
Messaging Knockout,30,24,48,6.123724356957946
Messaging Knockout,4,1,48,4.0
Messaging Knockout,12,7,72,4.535573676110727
Messaging Knockout,10,5,11,4.47213595499958
Messaging Knockout,10,4,11,5.0
Messaging Knockout,4,1,11,4.0
Messaging Knockout,4,1,53,4.0
Messaging Knockout,12,6,90,4.898979485566357
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,8,3,48,4.618802153517007
Messaging Knockout,18,9,9,6.0
Messaging Knockout,8,3,53,4.618802153517007
Messaging Knockout,14,7,53,5.2915026221291805
Messaging Knockout,4,1,53,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,6,2,81,4.242640687119285
Messaging Knockout,4,1,48,4.0
Messaging Knockout,4,1,90,4.0
Messaging Knockout,4,1,90,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,6,2,81,4.242640687119285
Messaging Knockout,8,3,48,4.618802153517007
Messaging Knockout,10,4,48,5.0
Messaging Knockout,4,1,53,4.0
Messaging Knockout,4,1,90,4.0
Messaging Knockout,6,2,90,4.242640687119285
Messaging Knockout,4,1,90,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,81,4.0
Messaging Knockout,4,1,27,4.0
Messaging Knockout,6,2,48,4.242640687119285
